id_pedido;fecha;mes;dia_semana;hora;franja_horaria;local;categoria;zona;monto;cantidad_productos;tuvo_plus;ahorro_plus;tipo_consumo;fin_de_semana;local_recurrente
P001;2025-09-24;septiembre;miércoles;20:37;noche;Central De Pizzas Y Empanadas - Tigre;pizza_empanadas;Tigre;20180;1;0;0;comida_resuelta;0;1
P002;2025-09-23;septiembre;martes;12:28;mediodía;PedidosYa Market - Nordelta;market;Nordelta;17189,18;7;0;0;abastecimiento;0;1
P003;2025-09-21;septiembre;domingo;17:48;tarde;Panificadora Tigre - Cazón;panadería;Tigre;15764;2;0;0;merienda_desayuno;1;1
P004;2025-09-20;septiembre;sábado;18:59;tarde;PedidosYa Market - Nordelta;market;Nordelta;43921,05;13;0;0;abastecimiento;1;1
P005;2025-09-18;septiembre;jueves;17:25;tarde;Panificadora Tigre - Cazón;panadería;Tigre;10629;1;0;0;merienda_desayuno;0;1
P006;2025-09-29;septiembre;lunes;15:53;tarde;Sabores Express Tigre;comida_rapida;Tigre;23939;1;0;0;comida_resuelta;0;1
P007;2025-09-29;septiembre;lunes;11:34;mañana;PedidosYa Market - Nordelta;market;Nordelta;37737,80;14;0;0;abastecimiento;0;1
P008;2025-10-13;octubre;lunes;22:38;noche;Maranello Pizza;pizza_empanadas;otro;21229;1;0;0;comida_resuelta;0;1
P009;2025-10-11;octubre;sábado;16:30;tarde;Panificadora Tigre - Cazón;panadería;Tigre;12249;1;0;0;merienda_desayuno;1;1
P010;2025-10-09;octubre;jueves;22:48;noche;Maranello Pizza;pizza_empanadas;otro;20409;1;0;0;comida_resuelta;0;1
P011;2025-10-08;octubre;miércoles;13:50;mediodía;PedidosYa Market - Nordelta;market;Nordelta;50801,90;12;0;0;abastecimiento;0;1
P012;2025-10-05;octubre;domingo;18:46;tarde;Perlatto Helados - Tigre;heladería;Tigre;17554;1;0;0;antojo;1;1
P013;2025-10-02;octubre;jueves;16:49;tarde;Perlatto Helados - Tigre;heladería;Tigre;17234;1;0;0;antojo;0;1
P014;2025-10-22;octubre;miércoles;20:31;noche;Perlatto Helados - Tigre;heladería;Tigre;17530;1;1;1099;antojo;0;1
P015;2025-10-21;octubre;martes;13:19;mediodía;Maranello Pizza;pizza_empanadas;otro;19580;1;0;0;comida_resuelta;0;1
P016;2025-10-18;octubre;sábado;15:52;tarde;Perlatto Helados - Tigre;heladería;Tigre;18309;1;0;0;antojo;1;1
P017;2025-10-15;octubre;miércoles;14:07;mediodía;PedidosYa Market - Nordelta;market;Nordelta;46275,20;19;1;0;abastecimiento;0;1
P018;2025-10-14;octubre;martes;17:28;tarde;Perlatto Helados - Tigre;heladería;Tigre;18309;1;0;0;antojo;0;1
P019;2025-11-02;noviembre;domingo;11:56;mañana;Panificadora Tigre - Cazón;panadería;Tigre;11760;1;1;749;merienda_desayuno;1;1
P020;2025-10-29;octubre;miércoles;13:12;mediodía;PedidosYa Market - Nordelta;market;Nordelta;75657,30;15;1;1939;abastecimiento;0;1
P021;2025-10-27;octubre;lunes;20:53;noche;Sabores Express Tigre;comida_rapida;Tigre;23220;1;1;1099;comida_resuelta;0;1
P022;2025-10-27;octubre;lunes;17:14;tarde;Panificadora Tigre - Cazón;panadería;Tigre;11510;1;1;749;merienda_desayuno;0;1
P023;2025-10-23;octubre;jueves;12:13;mediodía;Panificadora Tigre - Cazón;panadería;Tigre;11510;1;1;739;merienda_desayuno;0;1
P024;2025-11-13;noviembre;jueves;17:35;tarde;Heladería Colonial Tigre;heladería;Tigre;24950;1;1;789;antojo;0;0
P025;2025-11-06;noviembre;jueves;19:45;tarde;Heladería Nani - Tigre;heladería;Tigre;21120;1;1;1679;antojo;0;1
P026;2025-11-05;noviembre;miércoles;19:08;tarde;Perlatto Helados - Tigre;heladería;Tigre;17530;1;1;1119;antojo;0;1
P027;2025-11-04;noviembre;martes;09:58;mañana;PedidosYa Market - Nordelta;market;Nordelta;20410,80;6;1;1979;abastecimiento;0;1
P028;2025-11-24;noviembre;lunes;17:56;tarde;Panificadora Tigre - Cazón;panadería;Tigre;11780;1;1;759;merienda_desayuno;0;1
P029;2025-11-21;noviembre;viernes;18:09;tarde;Sabores Express Tigre;comida_rapida;Tigre;27000;2;1;1119;comida_resuelta;0;1
P030;2025-11-19;noviembre;miércoles;21:23;noche;Maranello Pizza;pizza_empanadas;otro;25250;2;1;1679;comida_resuelta;0;1
